heading,body
Ruckus in Assam Assembly continues for second day over allegations against Himanta Sarma's wife,Chaos broke out in the Assam Assembly for the second consecutive day on Friday as Opposition members continued to demand a discussion on allegations against Chief Minister Himanta Biswa Sarma's wife.
"Chatra News: Jharkhand Man Burns Wife, Mother Alive Over Family Dispute; Probe On To Nab Accused",J
"BJP Takes Dig At Farooq Abdullah Over Viral Video With Female Reporter, Calls Him 'Deeply Misogynistic'",J
"Manipur Govt Approves Compensation Scheme For Women Victims Of Sexual Assault, Other Crimes; Details Inside",J
Kota Students Death: Hostel Wardens To Undergo Professional Training As City Records 24 Suicide Cases This Year,J
"Assam News: Woman Murders Husband After Drugging Him, Abandoned Body To Make It Look Like Accident; Two Arrested",J
Thane News: 45-Year-Old Man Held For Molesting Teenage Girl At Suburban Train Station,J
Gujarat: Sand artist depicts PM Modi in sand with Chandrayaan-3 mission,"Gandhinagar (Gujarat) [India], September 15 (ANI): In a unique celebration of the Prime Minister's upcoming birthday on September 17, a sand art ist has created a grand sand art here depicting Narendra Modi with Chandrayaan-3 and the G20 summit logo."
SC asks all HCs to inform about status of virtual hearings,"New Delhi, Sep 15 (PTI) The Supreme Court on Friday sought the response of all the high courts and some tribunals on whether they have disbanded the hybrid mode of hearing cases, allowing lawyers and litigants to appear in a matter through video-conferencing as well."
Haryana Minister Sandeep Singh Gets Anticipatory Bail In Sexual Harassment Case,Haryana Minister Sandeep Singh on Friday received major relief as a local Chandigarh Court granted him anticipatory bail in connection with a sexual harassment case filed by a junior female coach.
Opposition BJP to boycott Odisha Assembly Speaker's election on Sep 21,"Bhubaneswar: The opposition BJP on Friday decided to boycott the election for the Odisha Assembly Speaker on September 21 as it coincided with the 'Nuakhai' festival, an agrarian event in the western region of the state."
"Gucci, Cartier, And Louis Vuitton Will Add New Outlets In Reliance's Jio World Plaza In Mumbai","The luxury retail landscape in India is poised for a significant transformation as high-end brands such as Gucci, Cartier, and Louis Vuitton plan on establishing new outlets in an upcoming luxury mall in Mumbai, developed by Reliance."
"Exclusive: Tiger Shroff, Sunny Leone, others attended scam-accused's wedding, say sources","The Enforcement Directorate, investigating the Mahadev online betting case, has revealed that several actors and singers from Bollywood were roped in to attend the wedding ceremony of the company promoter, Sourabh Chandrakar."
"PM Modi to launch special scheme for artisans, craftspersons on September 17",Prime Minister Narendra Modi will launch a new Vishwakarma scheme to help artisans and craftsmen and those engaged in traditional skills on the occasion of Vishwakarma Jayanti on September 17.
"Priyanka Gandhi writes to PM Modi, urges him to declare Himachal calamity a national disaster","Congress general secretary Priyanka Gandhi on Friday wrote a letter to Prime Minister Narendra Modi, urging him to declare the natural calamity triggered due to the floods and landslides in Himachal Pradesh as a National Disaster."
India: Congress MLA arrested in connection with violence in Haryana's Nuh to be produced in court today,Congress MLA Mamman Khan was arrested by the Haryana Police on Friday (September 15) in connection with the violence that broke out in Nuh in late July.
Video: Godhra-Bound Dahod-Anand MEMU Train Engine Catches Fire,"The engine of a Godhra-bound train was engulfed in fire on Friday near Dahod, Gujarat. Horrific visuals of the fire surfaced on social media."
"SC extends protection to Editors Guild, 4 members by two weeks in FIRs lodged in Manipur",New Delhi: The Supreme Court on Friday extended by two weeks the protection from coercive action it has granted to four members of the Editors Guild of India (EGI) in connection with two FIRs lodged against them in Manipur for allegedly promoting enmity between different groups.
Tamil Nadu: CM MK Stalin Applauds 'Dravidian Model' As Three Women Set To Become Priests,"Amid the ongoing controversy surrounding Sanatan Dharma, Tamil Nadu Chief Minister MK Stalin has commended the ""Dravidian model"", as three women, Krishnaveni, S Ramya and N Ranjitha, successfully completed their training at the Archakar (priest) Training School affiliated with the Sri Ranganathar temple in Srirangam, Tiruchirappalli, to become priests."
J-K High Court issues notice to administration over house arrest of Mirwaiz Umar Farooq,"Srinagar, Sep 15 (PTI) The Jammu and Kashmir High Court on Friday issued a notice to the union territory administration seeking its response on a petition filed by Hurriyat Conference chairman Mirwaiz Umar Farooq over his house arrest since August 2019."
"Karnataka govt organises mega event of reading Constitution's preamble, millions of people from India, abroad participate","Bengaluru, Sep 15 (PTI) The Karnataka government on Friday organised a mega event of reading the Constitution's preamble as part of the 'International Day of Democracy' celebrations with tens of lakhs of people participating in the programme from India and abroad at the same time."
Arunachal launches Aadhaar-linked birth registration,"Itanagar, Sep 15 (PTI) Arunachal Pradesh became the second state in the Northeast after Nagaland to launch Aadhaar-linked birth registration, officials said on Friday."
SC adjourns hearing on BRS Kavitha plea; Enforcement Directorate defers its summons to her till Sept 26,The Supreme Court on Friday adjourned the hearing on Bharat Rashtra Samithi (BRS) MLC K Kavitha's plea against ED summons till September 26 as the probe agency assured not to assist her appearance before it until the next date of hearing.
'Eris' Covid variant better at escaping immunity than other strains: Lancet study,"New Delhi, Sep 15 (PTI) The EG.5.1 variant of SARS-CoV-2 can escape neutralising antibodies better than other currently circulating strains, giving it an advantage in infecting vaccinated or previously infected people, according to a study published in The Lancet Infectious Diseases journal."
"""Naye Bharat ka naya Uttar Pradesh."": UP CM Yogi Adityanath",Uttar Pradesh Chief Minister Yogi Adityanath on Friday said that 'Naye Bharat ka naya Uttar Pradesh' (new Uttar Pradesh of the new Bharat) has emerged as a growth engine in the country.
"If Congress wants to benefit, it should boycott Rahul Gandhi not journalists: BJP","New Delhi: The BJP on Friday took a swipe at the Congress over the opposition INDIA bloc's decision to boycott 14 broadcast media anchors, saying shunning media or any other institution will do it no good and the party can only benefit by boycotting Rahul Gandhi as he has no strength."
SC adjourns hearing on BRS Kavitha plea; Enforcement Directorate defers its summons to her till Sept 26,"New Delhi [India], September 15 (ANI): The Supreme Court on Friday adjourned the hearing on Bharat Rashtra Samithi (BRS) MLC K Kavitha 's plea against ED summons till September 26 as the probe agency assured not to assist her appearance before it until the next date of hearing."
"On FIR against Aaj Tak's Sudhir Chaudhary, Karnataka HC says prima facie case made for probe","The Karnataka High Court orally observed on Friday that there is a prima facie case to go for investigation against Aaj Tak's Consulting Editor Sudhir Chaudhary for spreading misinformation about a commercial vehicle subsidy scheme by the state government, reported Live Law."
India TV opinion poll: Is Hindi popular not only in India but also across the world now?,"Hindi is not only our mother tongue but it is also our national identity. Hindi Diwas is celebrated all over the world every year on September 14. Special events are organised in schools, colleges and educational institutions."
Telangana CM KCR inaugurates nine new govt medical colleges,"Hyderabad: Telangana Chief Minister K Chandrasekhar Rao on Friday virtually inaugurated nine new medical colleges at various locations in the state, as part of the government's stated aim of opening at least one such institution in every district of the state."
"""20 pc poorest bear maximum brunt of price rise on daily basis"": Mallikarjun Kharge","New Delhi [India], September 15 (ANI): Slamming the BJP-led Centre on the issue of inflation, Congress president Mallikarjun Kharge on Friday claimed that on a daily basis, the 20 per cent poorest people of the country bear the maximum brunt of price rise."
No bilateral cricket matches with Pakistan until terrorism ends: Anurag Thakur,"Union Sports Minister Anurag Thakur on Friday said India will not play any bilateral cricket matches with Pakistan, unless the latter stops cross-border terrorism."
Madhya Pradesh Police calls man to identify shoes stolen from temple 7 years ago,An unusual incident happened in Madhya Pradesh's Shivpuri when police called a man to identify a pair of slippers that he reported to have gone missing from outside a temple seven years ago.
"Monu Manesar wanted to join Lawrence Bishnoi network, say police sources","Cow vigilante Monu Manesar, who was arrested on Tuesday by the Haryana Police over the communal clashes in Haryana's Nuh, wanted to join the network of dreaded gangster Lawrence Bishnoi, who operates his network from jail."
Assam: Lord Ganesha's 30-feet tall idol installed in Guwahati ahead of Ganesh Chaturthi,"Guwahati (Assam) [India], September 15 (ANI): With the Ganesh Chaturthi festival around the corner, Assam's Fatasil area in Guwahati is all set to welcome the deity of prosperity by installing a 30-feet tall idol of Lord Ganesha."
Mehbooba Mufti reaches martyr Humayun Bhat's house to shed tears; raises celebration at BJP HQ,"Srinagar: It is the misfortune of Jammu and Kashmir that youngsters here continue to get killed when they should be enjoying and planning their lives, PDP president Mehbooba Mufti said on Friday."
"In meeting with Rajanth, Meitei group seeks withdrawal of Assam Rifles from Manipur","Imphal: Representatives of COCOMI, an umbrella body of Imphal valley-based civil society organisations, met Defence Minister Rajnath Singh and demanded the withdrawal of Assam Rifles from the state, alleging that the force was acting in a biased way."
Court adjourns Naidu's bail petitions to Sep 19 in Skill Development Corporation case,"Vijayawada (Andhra Pradesh), Sep 15 (PTI) A local Court in Vijayawada on Friday adjourned the hearing of two bail petitions filed by TDP chief N Chandrababu Naidu to September 19."
4 workers killed as lift free falls at under-construction society in Greater Noida,"Noida, Sep 15 (PTI) Four workers died Friday after a service lift had a free fall at an under-construction group housing society in Greater Noida West, also known as Noida Extension, police said."
"Sri Sri Ravi Shankar Lauds India's Skill To Navigate Conflicting Forces, Achieve Joint Declaration At G20 Summit","Lauding India's G20 Presidency, spiritual leader Sri Sri Ravi Shankar has said that achieving success on the joint declaration at the summit was a ""herculean task"" and this speaks of Delhi's skill to navigate, manage conflicting forces and arrive at a common vision."
Telangana CM Inaugurates Nine New Govt Medical Colleges,"Telangana Chief Minister K Chandrasekhar Rao on Friday virtually inaugurated nine new government medical colleges across the state. With this, the total number of government medical colleges in the state have gone up to 26 from five in 2014, he said."
"Sena (UBT) MLA Ravindra Waikar, 5 Others Booked For Cheating In Mumbai","The Economic Offences Wing (EOW) of Mumbai police has registered a case against Shiv Sena (UBT) legislator Ravindra Waikar and five others in connection with the construction of a luxury hotel in a western suburb, an official said on Friday."
"Manipur Govt Approves Compensation Scheme For Women Victims Of Sexual Attack, Acid Attack","The Manipur government has approved a compensation scheme for women victims of sexual assault and other crimes, an official order said."
Chandrababu Naidu Files Bail Petitions In Court In Skill Development Corporation Case,"TDP chief N Chandrababu Naidu, who has been remanded to 14 days in judicial custody for his alleged role in a multi-crore Skill Development Corporation scam, has filed two bail petitions, interim and regular, in a local court."
"Howrah man builds 'Bravo', a robot to help teach Autistic children","A resident of Shibpur in Howrah district, has earned the nickname 'Robot Man' for his relentless efforts in building robots with a noble purpose."
"Police, security forces nab two LeT terrorist associates in J-K's Baramulla","Baramulla (Jammu and Kashmir) [India], September 15 (ANI): The Jammu and Kashmir police in a joint operation with the security forces busted a terrorist module and nabbed two terrorist associates linked to the proscribed terror outfit Lashkar-e-Taiba (LeT) in Jammu and Kashmir 's Baramulla , an official statement said on Friday."
Goa govt launches taxi service app to facilitate easy travel for tourists,Panaji: The Goa government on Friday launched a taxi service app through which people can book a cab online to travel anywhere within the coastal state.
Delhi-NCR: IMD predicts heavy rainfall with strong winds; issues 'impact' warning. Check full weather update,"Delhi-NCR residents witnessed moderate rainfall and gusty winds on Friday morning, as predicted by the India Meteorological Department's weather forecast."
Kerala Lottery Result: Nirmal NR 346 Result Announced on 15 September; Details,"The Kerala lottery result for the
Nirmal NR
346 draw is announced today, Friday, 15 September 2023. Participants of the lottery sambad are requested to check the live result on the official website - keralalotteries.com."
Sai Kaustuv Dasgupta From Bengaluru Receives Highest Diversity Leadership Award From Asia Pacific HRM Congress,"On a momentous occasion, Sai Kaustuv Dasgupta, 90% disabled Wheelchair Warrior, Global Motivational Speaker, Happiness Coach, and Diversity & Inclusion Champion, was honored with the prestigious ""DIVERSITY LEADERSHIP AWARD 2023"" The accolade was bestowed upon him at the 22nd Edition of Asia Pacific HRM Congress Award Ceremony, in Taj MG Road, Bengaluru."
Haryana: Man accused of opening fire during Nuh violence arrested,"Nuh violence: Police have arrested a man accused of opening fire and injuring a man during the communal violence in Haryana's Nuh, officials said on Thursday."
MNS protests outside minister's event venue to highlight condition of Mumbai-Goa highway,Mumbai: Maharashtra Navnirman Sena (MNS) on Friday staged a protest outside the venue of an event attended by PWD minister Ravindra Chavan to highlight the condition of the Mumbai-Goa National Highway.
Supreme Court extends protection to Editors Guild's 4 members by 2 weeks in FIRs lodged in Manipur,"New Delhi, September 15"
"Priyanka Gandhi writes to PM Modi, calls for declaring Himachal calamity 'national disaster'","New Delhi: Congress leader Priyanka Gandhi Vadra appealed to Prime Minister Narendra Modi on Friday to declare the destruction caused by heavy rains in Himachal Pradesh a ""national disaster"", just like the Kedarnath tragedy of 2013."
"Aatmanirbhar Bharat: DAC approves nine capital acquisition proposals for armed forces worth Rs 45,000 Cr","With an aim to enhance the protection, mobility, attack capability and increased survivability of mechanised forces, the Defence Acquisition Council (DAC) has accorded 'Acceptance of Necessity' (AoN) for nine capital acquisition proposals of approximately Rs 45,000 crore."
"Dogras From PoJK Seek India's Help To Escape 'Pak Clutches', Write To Dogra Sabha Chief","In a letter addressed to the Dogra Sadar Sabha, Muhammad Sajjad Raja, the International Coordinator of the community, sought support from the Indian government to rescue the residents of Pakistan-occupied Jammu and Kashmir (PoJK) from what the letter described as 'Pakistani clutches'."
Congress MLA Mamman Khan Sent To 2-day Police Custody In Nuh Violence Case,Congress MLA Mamman Khan on Friday (September 15) was sent to police custody for two days by the Nuh district court. He has to be presented in the court again on September 17 at 11 am.
'Ramcharitmanas Is Like Potassium Cyanide': Bihar Minister Chandra Shekhar's Controversial Statement Draws BJP's Ire,"Rashtriya Janata Dal (RJD) leader and Bihar's Education Minister Chandra Shekhar courted controversy for likening Ramcharitmanas, the epic poem by Tulsidas, to potassium cyanide."
Delhi: 56-year-old woman undergoes surgery after being mauled by stray dogs,"New Delhi: There seems to be no respite from stray dog menace in the national capital Delhi. In a fresh incident, a pack of stray dogs attacked a 56-year-old woman causing her to undergo surgery at Delhi’s AIIMS. The elderly woman suffered a fractured leg in the incident."
Flashback Friday: The story of India's flag carrier - Air India,"As India's flag carrier, Air India, revealed its new brand identity in August, the airline is set to enter a new era in its journey of being a distinct carrier in domestic and international skies."
Data from Chandrayaan-1 indicates electrons from Earth form water on Moon,A team of scientists led by researchers from the University of Hawai'i has found that high energy electrons from the Earth may be responsible for formation of water on Moon.
"Bus gets stuck in strong river current in UP's Bijnor, all 53 passengers rescued","Bijnor (UP), Sep 15 (PTI) A passenger bus carrying pilgrims from Nepal to Haridwar got stuck in the strong current of a local river here on Friday, police said and added that all the passengers were safely rescued."
Land patta given to 1.30 indigenous people in 5 years: Assam minister,"Guwahati, Sep 15 (PTI) The Assam government has provided land 'patta' (ownership document) to more than 1.30 lakh people in the last five years, the assembly was informed on Friday."
Three injured as private aircraft veers off runway at Mumbai airport,"A small private aircraft carrying eight passengers, including two crew members on board, veered off the runway at the Mumbai airport on Thursday amid heavy rains."
"Tamil Nadu launches Rs 1,000 monthly cash dole scheme for women","Touted as the biggest direct benefit transfer scheme the Tamil Nadu government on Friday launched the Kalaignar Magalir Urimai Thittam (Kalaignar women rightful money scheme) that will provide Rs 1,000 as monthly cash dole throughout the year for 1.065 crore woman heads of families across the state."
Anantnag encounter: Soldier who went missing during operations found dead,"A soldier, who went missing during the ongoing encounter with terrorists in Anantnag district Jammu and Kashmir, died on Friday, taking the number of soldiers killed in action to four."
PM to inaugurate phase 1 of India International Convention and Expo Centre on Sunday,"New Delhi: Prime Minister Narendra Modi will inaugurate the first phase of India International Convention and Expo Centre (IICC), named YashoBhoomi, in Dwarka and also the extension of Delhi Airport Metro Express line from Dwarka Sector 21 to a new metro station at Dwarka Sector 25 on Sunday."
"After 86 years, Mumbai's famed double-decker buses to fade into oblivion",IANS
"Dedollarisation: 22 countries exploring bilateral trade with India in rupees, says Nirmala Sitharaman","As many as 22 countries approached India to explore bilateral trade in rupees, Union Finance Minister Nirmala Sitharaman said, adding that negotiations with them are underway."
Nara Lokesh in Delhi for legal consultation after Chandrababu Naidu's arrest in graft case,New Delhi: Telugu Desam Party (TDP) General Secretary Nara Lokesh is in the national capital to hold consultations with lawyers in connection with the arrest of his father and party chief N Chandrababu Naidu in the Skill Development Corporation scam in Andhra Pradesh.
"CM Sukhu announces Rs 5,000 for 260 meritorious students of Classes 10, 12","Shimla (Himachal Pradesh) [India], September 15 (ANI): Chief Minister Sukhwinder Singh Sukhu on Friday awarded 260 meritorious students of Classes 12 and 10 in a felicitation ceremony."
Only one medical college in Assam offering treatment in all sanctioned depts: Health min,"Guwahati, Sep 15 (PTI) Only one medical college and hospital in Assam is currently offering treatment in all sanctioned departments, Health Minister Keshab Mahanta said in the state assembly on Friday."
"Karnataka HC says no arrest of Aaj Tak Consulting Editor Sudhir Chaudhary, but case needs investigation","The Karnataka High Court has directed the police not to take precipitative action against Aaj Tak news channel's Consulting Editor Sudhir Chaudhary in an FIR filed against him, but said that there was a prima facie case against him, and it should be investigated."
HC Dismisses Anjuman-e-Islam's Plea To Halt Ganesh Chaturthi Celebrations At Hubballi Idgah Maidan,The Dharwad bench of the Karnataka High Court on Friday dismissed a plea filed by the Anjuman-e-Islam to halt Ganesh Chaturthi celebrations at the Idgah Maidan in Hubballi.
Udhampur railway station renamed after martyr Captain Tushar Mahajan,"Jammu: The Udhampur railway station in Jammu and Kashmir has been renamed after martyr Captain Tushar Mahajan, officials said on Friday."
"Will Fight Rajasthan Polls Unitedly, Says Sachin Pilot",Congress leader Sachin Pilot on Friday stressed that the party would fight the Rajasthan assembly polls ''unitedly'' and said that a decision on who would lead the next government would be taken by the high command after consultations with the newly-elected MLAs.
"""This will give rise to division in society.,"" Chirag Paswan on Bihar Minister's comparison of Ramcharitmanas with cyanide","After Bihar Education Minister Chandra Shekhar compared Ramcharitmanas to 'potassium cyanide', Lok Janshakti Party chief Chirag Paswan asked about the degrading quality of primary education in the state and said that by giving these controversial statements, anyone can identify that this will give rise to division in society."
Centre grants Delhi Minister Gopal Rai political clearance to travel to USA for Columbia India Energy Dialogue,The Central Government on Friday granted political clearance to Delhi Environment Minister Gopal Rai to travel to the United States of America to attend the Columbia India Energy Dialogue to be held in New York on September 18. The Minister Gopal Rai has approached the Delhi High Court challenging the central government order denying him permission to travel to New York to attend Columbia India Energy Dialogue.
Man arrested for sexually assaulting journalist live on air in Spain,"Police arrested a man for sexually assaulting a female reporter while she was doing live coverage from the streets of Madrid, CNN reported on Friday."
Nuh: Cong MLA Mamman Khan sent to 2-day police remand,"Congress MLA Mamman Khan was, on Friday, produced before a court in Nuh which sent him to two-day police remand, police said."
"Pics: PM to open YashoBhoomi, one of the largest convention centres, in Delhi","Prime Minster Narendra Modi is all set to inaugurate International Convention and Expo Centre (IICC), YashoBhoomi at Delhi's Dwarka on September 17."
"Nipah Virus Mortality Rate Massively Higher Than Covid, Warns ICMR Chief Dr. Rajiv Bahl","New Delhi: The mortality rate of the Nipah virus is massively higher than Covid-19, Indian Council of Medical Research (ICMR) Director General, Dr. Rajiv Bahl informed on Friday."
PM Modi To Launch Vishwakarma Scheme On Sept 17 For Benefit Of Traditional Artisans,"For the benefit of the traditional artisans, Prime Minister Narendra Modi on Sunday (September 17) will launch the 'PM Vishwakarma' scheme, in commemoration of the VIshwakarma Jayanti at the India International Convention and Expo Centre in Dwarka, New Delhi."
'Protection Of Constitution Duty Of Every Citizen': K'taka CM Organizes Mega Preamble-reading Event,The Karnataka government on Friday organised a mega event of reading the Constitution's preamble as part of the 'International Day of Democracy' celebrations with tens of lakhs of people participating in the programme from India and abroad at the same time.
"Beggar Speaking Fluent English In Chennai Was Once A Teacher, Time Travels Back, Check How","Social media is a great 'leveller,' it is said and so many instances have come to light by its power. One such heartwarming story got revealed on the streets of Chennai, where a content creator Mohamed Ashik had a chance meeting with an 81-year old lady Merlin, begging on the streets."
Youth found alive in Chandigarh just before cremation of wrongly identified body in UP,"Muzaffarnagar (UP), Sep 15 (PTI) An 18-year-old believed to be dead by his family was found to be alive by the police just in time, before the wrongly identified body - thought to be him - could be cremated by his kin, officials said on Friday."
HC imposes Rs 50 lakh penalty on WB govt for failing to transfer corruption probe to CBI,"Kolkata, Sep 15 (PTI) The Calcutta High Court on Friday imposed a penalty of Rs 50 lakh on the West Bengal government for failing to hand over the investigation from the CID to CBI and ED into alleged irregularities in a women's cooperative society."
You Won't Be Able To Overpay Your Credit Card Dues Soon: Here's Why,"In a move that might surprise many, Indian banks are putting the brakes on credit card users who pay more than their due amount. Why, you ask?"
"'Insensitive' Maharashtra govt indulging in 'five-star luxury' on public money for Marathwada cabinet meet, says Cong leader Patole","Mumbai, Sep 15 (PTI) Maharashtra Congress president Nana Patole on Friday accused the state government of spending several crore rupees on cabinet meetings and rubbing salt on the wounds of people affected by drought-like conditions in Marathwada."
India to procure 20 more doses of monoclonal antibody from Australia for Nipah treatment: ICMR DG,"New Delhi, Sep 15 (PTI) India will procure from Australia 20 more doses of monoclonal antibody for the treatment of Nipah virus infection, ICMR DG Rajeev Bahl said on Friday."
"Nadda alleges Congress agenda to 'abuse and disrespect' Sanatan Dharma, also slams INDIA","Jashpur, Sep 15 (PTI) BJP president JP Nadda on Friday hit out at opposition alliance INDIA and claimed the agenda of Sonia Gandhi and Rahul Gandhi, top leaders of its key constituent Congress, was to ""abuse and disrespect"" Sanatan Dharma."
Supreme Court Extends Protection To 4 Members Of Editors Guild By 2 Weeks In FIRs Lodged In Manipur,The Supreme Court on Friday extended by two weeks the protection from coercive action it has granted to four members of the Editors Guild of India (EGI) in connection with two FIRs lodged against them in Manipur for allegedly promoting enmity between different groups.
"Red And Orange Alerts For Parts of Maharashtra, Gujarat, Madhya Pradesh And Other Regions Issued By IMD",The India Meteorological Department (IMD) on Friday shared the weather update placing many states and regions in India on Red and Orange alert with expectations of very heavy to extremely heavy rainfall on September 15 and from September 15 to up to September 17 for some places in India.
"Karnataka HC says no arrest of Sudhir Chaudhary, but case needs investigation","Bengaluru: The Karnataka High Court has directed the police not to take precipitative action against Aaj Tak news channel's Consulting Editor Sudhir Chaudhary in an FIR filed against him, but said that there was a prima facie case against him, and it should be investigated."
Centre grants Delhi Minister Gopal Rai political clearance to travel to USA for Columbia India Energy Dialogue,"New Delhi [India], September 15 (ANI): The Central Government on Friday granted political clearance to Delhi Environment Minister Gopal Rai to travel to the United States of America to attend the Columbia India Energy Dialogue to be held in New York on September 18."
Delhi women's body seeks SIT probe in sexual assault of minor girl by school director's son in Bihar's Saharsa,"The Chairperson of the Delhi Commission for Women, Swati Maliwal on Friday, wrote a letter to Bihar Chief Minister Nitish Kumar demanding a Special Investigation Team probe into the rape incident that took place in Bihar's Saharsa."
Andhra court adjourns Naidu's bail petitions to Sep 19 in Skill Development Corporation scam,A local court in Vijayawada on Friday adjourned the hearing of two bail petitions filed by TDP chief and former Andhra Pradesh chief minister N Chandrababu Naidu to September 19.
"Unnao: 3 brothers fight over insurance money received due to mother's death, 1 dead","Unnao (UP): A dispute over the share of an insurance amount led to an exchange of blows among three brothers in Paschim Tola area here, causing the death of them, police said on Friday."
Six-Year Old Pays Last Respect To His Father Colonel Manpreet Singh,Six-year-old son of Colonel Manpreet Singh who lost his life during a gunfight in Jammu and Kashmir's Anantnag district was seen offering a salute to his father during the last rites in Punjab's Mohali district.
Two killed in TN while making country bomb,"Dindigul (TN), Sep 15 (PTI) Two persons were killed in an explosion at Natham in this district on Friday while making a country bomb, police said."
"Nagpur: Complaint against Udhayanidhi Stalin, Raja, Kharge over Sanatan remarks","A fresh police complaint has been filed in Maharashtra's Nagpur against Tamil Nadu minister Udhayanidhi Stalin, his Dravida Munnetra Kazhagam (DMK) colleague A Raja, and Karnataka minister Priyank Kharge over their remarks about Sanatan Dharma."
Haryana Violence: Congress MLA Mamman Khan Sent To Two-Day Police Custody; Internet Suspended In Nuh,J
"Rajasthan Election 2023: 'Will Contest Unitedly, High Command To Take Decision On CM Face,' Says Sachin Pilot",J
IAF Base Bakshi Ka Talab In Lucknow Set For Expansion,J
"Women Family Heads In Tamil Nadu To Get Rs 1,000 Per Month; Know Eligibility And Other Details Here",J
"Weather Updates: IMD Issues Red Alert For Maharashtra, Madhya Pradesh; Check Forecast For Other States",J
"Pralhad Joshi Targets INDIA Bloc, Rajasthan Govt Over Udhayanidhi Stalin's 'Sanatan Dharma' Remark",J
Nyoma Fields World's Highest Airfield Amid India's Border Security Leap,"In a significant display of India's commitment to reinforcing its border infrastructure, Defence Minister Rajnath Singh laid the foundation stone of the Nyoma Airfield in eastern Ladakh."
"In A First, 3 Tamil Nadu Women Set To Become Temple Priests, Stalin Hails Dravidian Model","Making way in the male-dominated field, three women in Tamil Nadu are all set to become priests for the first time ever. The three women -- Krishnaveni, S Ramya, and N Ranjitha have successfully completed their training under the 'All-Caste Priests' scheme run by the Sri Ranganathar temple in Srirangam, Tiruchirappalli."
India's Domestic Expertise Takes Centerstage As ISTAR Jets Bridge Intelligence Gap,"In a strategic move to bolster its aerial surveillance capabilities, India is set to acquire three Bombardier Global 6000 private jets, intended for conversion into cutting-edge Intelligence, Surveillance, Targeting Acquisition, and Reconnaissance (ISTAR) platforms."
Uttar Pradesh provides excellent environment for investment: CM Yogi,"Uttar Pradesh Chief Minister Yogi Adityanath said on Friday that Uttar Pradesh is working diligently as the growth engine of India. In a true sense, UP has now become an integral part of India's development journey."
CAG bags Rajbhasha Kirti Puraskar for 'outstanding implementation' of Official Language Policy,"The office of the Comptroller and Auditor General of India (CAG) has been conferred 'Rajbhasha Kirti Puraskar' by the Home Ministry for ""outstanding implementation"" of Official Language Policy."
'Will attend CM Eknath Shinde's press confererence as journalist if police allow': Sanjay Raut,"Shiv Sena (UBT) leader Sanjay Raut on Friday said he would attend as a journalist Maharashtra Chief Minister Eknath Shinde's press conference scheduled to be held here on September 16 following a meeting of the state cabinet, if police allow him to remain present there."
Govt's claim that Article 370 abrogation would improve J&K situation turned out to be false: 'Saamana',"Mumbai: The Shiv Sena (UBT) on Friday targeted the Narendra Modi government over the recent killing of security personnel in Kashmir, and said the Centre's claim that the situation in the Valley would normalise after the abrogation of Article 370 has turned out to be false."
Anantnag encounter: Soldier missing since yesterday found dead as hunt for terrorists continues,Anantnag: A soldier missing since yesterday was found dead today as the hunt for terrorists hiding in the forest areas Anantnag in Jammu and Kashmir entered the third day.
Uttar Pradesh provides excellent environment for investment: CM Yogi,"Lucknow (Uttar Pradesh) [India], September 15 (ANI): Uttar Pradesh Chief Minister Yogi Adityanath said on Friday that Uttar Pradesh is working diligently as the growth engine of India."
Kerala Lottery Winning Numbers For Sep 15: Check Results For 'Nirmal NR 346',The Kerala State Lottery Department (KSLD) announced the results of 'Nirmal NR 346' on Friday at 3 pm.
Who Was DSP Humayun Bhat? A Second-Generation Cop Who Followed In His Father's Footsteps,"Among the three army and police officers who lost their lives in an encounter with militants in Kokernag area of South Kashmir's Anantnag district on Wednesday, Humayun Muzamil Bhat, at the age of 34, was the youngest."
"SC refuses to quash FIR against Congress leader for remark about PM Modi, Gautam Adani","The Supreme Court has refused to quash a first information report against the Uttar Pradesh Youth Congress secretary for his alleged remark that Prime Minister Narendra Modi was in a ""love affair"" with Gautam Adani , the founder and chairman of Adani Group, reported Live Law ."
PM Modi to Inaugurate World Class Convention Centre 'YashoBhoomi' in Delhi's Dwarka | In Pics,No body text found
Anantnag encounter: 6-year-old son bids adieu to father Col Manpreet Singh through salute | Watch,"Anantnag gunfight: Goodbyes are always difficult. Such was the scene when son of Col. Manpreet Singh, who laid his life in Anantnag gunfight, paid his final homage to his father — a salute."
Living with another woman doesn't disentitle husband from divorce because of cruelty: HC,"New Delhi: Living with another woman during pendency of divorce proceedings after long separation cannot disentitle a husband from divorce on account of proven cruelty by wife, the Delhi High Court has said."
"'Ramcharitmanas Has Regressive Thoughts': Bihar Min Compares Scripture To Cyanide, BJP Slams Remark","New Delhi: Bihar education minister Chandra Shekhar once again stoked a fresh controversy after he compared Ramcharitmanas, a Hindu religious book based on the epic Ramayana, with potassium cyanide, news agency PTI reported."
BJP holds protest over alleged delay in granting permission for holding Ganeshotsav at Idgah Maidan,"Hubballi (K'taka), Sep 15 (PTI) The BJP is holding a protest here, alleging the authorities of delaying permission for holding Ganeshotsav at Idgah Maidan under pressure from the Congress government in the state."
